manuscript_claim,claim_type,supporting_artifact,supporting_lines_or_fields,supporting_reference,confirmatory_or_exploratory,strength_of_evidence,caveat
"No individual pathway is load-bearing",empirical,reports/v2_interpretability/seed0_leave_one_pathway_out.csv,"13,192 ablations; max |delta| 0.00078",,exploratory,Moderate,"Consistent with M3->M4 decline and the H5 null, but each is individually weak."
"CONTROL E held-out R^2 is undefined because target variance is exactly zero",methodological,"reports/v2_interpretability/seed0_linear_probe_drugs.csv; seed0_linear_probe_summary.json","split=test: training_ddi_degree min=max=0, variance 0.0, n=255; r2_test=0.0 placeholder; pearson/spearman NaN",,confirmatory,Strong,"Must NOT be reported as evidence that the embedding does not encode degree."
"CONTROL E train R^2 = 0.5430",empirical,reports/v2_interpretability/seed0_linear_probe_summary.json,r2_train,,exploratory,Moderate,"Descriptive only; training drugs; shows the embedding does carry degree information among training drugs."
"F1, F2 and F3 were not triggered",methodological,reports/v2_statistics/final_h1_h5_holm.csv,"H-V2-1, H-V2-3, H-V2-4 all supported with Holm p < 0.001",,confirmatory,Strong,Falsification criteria were fixed in configs/v2_preregistered.yaml before running.
"F4 cannot trigger because the effect-size conjunct fails",methodological,"configs/v2_preregistered.yaml; seed0_linear_probe_summary.json","F4 condition 'R^2 > 0.6 AND Cohen d < 0.2'; observed dz 7.72; f4_probe_component_r2_gt_0_6 false",,confirmatory,Strong,"The probe arm is separately non-identifiable; the conclusion rests on the effect-size conjunct."
"F5 is only partially resolved; scaffold-disjoint was not evaluated",methodological,configs/v2_preregistered.yaml,"F5 condition text line 341; no scaffold artifact exists in the frozen tree",bemis1996scaffold,confirmatory,Strong,"Drug-disjoint component is decisively not triggered, but the criterion is not fully examined."
"Zero DDI edges enter the biological representation",methodological,src/ddinet/data/biology.py,"module docstring line 78; no read of ddi_positive_labels.parquet or split assignments anywhere in the module",,confirmatory,Strong,Structural guarantee verified by source inspection.
"Negative-sampling degree is computed from training pairs only",methodological,src/ddinet/data/negatives.py,"module docstring section '*** DEGREE IS COMPUTED FROM TRAINING PAIRS ONLY ***'; degree_source field",,confirmatory,Strong,"Degree matching is an assumption about the task, not a neutral choice."
"Dataset contains 1,705 drugs and 191,392 positive pairs",empirical,data/mechanism_v1/MANIFEST.json,authoritative_universe.n_drugs / n_positive_pairs,huang2021tdc,confirmatory,Strong,"TDC-selected subset of DrugBank; not representative of the full database."
"The source has no negative examples; ~86.8% of pair space is unlabelled",methodological,"src/ddinet/data/negatives.py; reports/dataset_report.md",module docstring; dataset report,"ryu2018deepddi, huang2021tdc",confirmatory,Strong,Some generated negatives are almost certainly undocumented true interactions.
"146,743 drug-protein edge rows collapse to 94,088 distinct triples",empirical,data/mechanism_v1/drug_protein_edges.parquet,"row count; BiologyBundle.describe() n_distinct_triples",wishart2018drugbank,confirmatory,Strong,Collapse rule is identity-based to prevent re-assertion from dominating a set mean.
"96.07% of drugs have protein annotation; 94.66% have pathway annotation",empirical,data/mechanism_v1 via BiologyBundle,"drugs_with_protein 1638; drugs_with_pathway 1614; n_drugs 1705","wishart2018drugbank, gillespie2022reactome",confirmatory,Strong,Remaining drugs receive a learned MISSING token; no biology is available for them.
"BIO-GINE has 1,122,804 parameters under the selected configuration",empirical,src/ddinet/models/bio_gine.py,BioGine.n_parameters() with config e8ece7c41ae09e5f,,confirmatory,Strong,Computed by instantiating the frozen architecture; not read from a training log.
"Molecular encoder is GINE with 3 layers and hidden dimension 64",methodological,src/ddinet/models/bio_gine.py,"BioGineConfig defaults mol_dim=64, mol_layers=3, mol_pooling='sum'","xu2019gin, hu2020pretraining",confirmatory,Strong,"Deviates from the architecture plan text (4 layers, d=128); the deviation is documented in the source and is deliberate so M0 stays comparable."
"Pair decoder is exactly symmetric",methodological,src/ddinet/models/bio_gine.py,"score_pairs: sum, abs difference, elementwise product, min/max of masks - all commutative",,confirmatory,Strong,Symmetry is exact by construction rather than learned.
"CONTROL F preserves both degree sequences exactly and changed 97.47% of edges",methodological,data/mechanism_v1_controls/shuffled_biology_seed20260829/SHUFFLE_MANIFEST.json,"algorithm; unit_of_shuffling; swap_report.edges_retained 2255; changed_fraction 0.974677",,confirmatory,Strong,"2.53% retained; pathways unshuffled; implemented differently from preregistration but documented as stricter."
"Annotation popularity alone predicts interactions above chance (0.6504)",empirical,reports/v2_bio_controls/biological_degree_rf_test.csv,test_auprc 5 rows,,confirmatory,Strong,"A caution for the field: studies using curated annotations without this control risk attributing popularity to biology."
"The model has no patient-level inputs and cannot make age-specific predictions",methodological,src/ddinet/models/bio_gine.py,"model inputs are molecular graph, protein set, pathway set only",,confirmatory,Strong,Absence of a capability; verified by inspecting the model's input signature.
"This system is not clinically validated",methodological,whole repository,"no clinical outcome dataset is present or referenced in any evaluation script",,confirmatory,Strong,Stated as a limitation throughout; no output may be presented as clinical advice.
